87.120.216.175:443#DE [优选高速125.00ms]
122.10.119.252:443#HK [优选高速31.00ms]
8.210.29.68:443#HK [优选高速46.00ms]
43.168.16.112:443#HK [优选高速47.00ms]
52.196.133.194:443#JP [优选高速47.00ms]
38.47.104.110:443#JP [优选高速47.00ms]
23.151.104.198:443#JP [优选高速62.00ms]
38.47.126.215:443#JP [优选高速62.00ms]
147.79.20.149:8443#JP [优选高速62.00ms]
158.51.110.61:8443#JP [优选高速62.00ms]
144.24.73.232:443#KR [优选高速63.00ms]
129.154.50.159:443#KR [优选高速78.00ms]
47.250.212.59:443#MY [优选高速93.00ms]
45.76.185.254:8443#SG [优选高速78.00ms]
149.28.152.204:443#SG [优选高速79.00ms]
139.180.143.248:8443#SG [优选高速94.00ms]
