103.136.146.98:443#AU [171.00ms]
79.132.141.205:8443#CH [234.00ms]
37.221.196.43:8443#DE [156.00ms]
87.106.215.206:443#DE [203.00ms]
92.119.167.27:8443#DE [218.00ms]
102.215.228.162:443#DE [328.00ms]
5.144.179.205:2053#FI [281.00ms]
57.128.183.137:8443#GB [204.00ms]
103.13.208.242:443#GB [296.00ms]
103.181.177.88:443#IN [140.00ms]
18.179.140.180:443#JP [62.00ms]
103.104.246.122:8443#NL [156.00ms]
103.104.246.171:8443#NL [187.00ms]
103.102.228.113:443#NL [296.00ms]
95.85.1.22:2053#NL [297.00ms]
103.137.193.230:443#NL [312.00ms]
103.137.250.250:443#NL [390.00ms]
103.13.210.67:443#NL [1296.00ms]
103.137.248.227:443#NL [1343.00ms]
103.137.250.185:443#NL [1343.00ms]
103.167.234.26:443#PL [265.00ms]
103.113.68.210:443#RU [203.00ms]
103.115.108.45:443#TW [78.00ms]
38.75.221.42:443#US [172.00ms]
103.152.113.60:443#US [203.00ms]
103.196.20.14:443#US [218.00ms]
103.152.113.60:8443#US [250.00ms]
